manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Fred's Lab,Manatee,System,Bank Select,,0,,0,127,,,,,,,,,
Fred's Lab,Manatee,General,Modulation Wheel,,1,,0,127,,,,,,,,,
Fred's Lab,Manatee,General,Breath Controller,,2,,0,127,,,,,,,,,
Fred's Lab,Manatee,General,Foot Controller,,4,,0,127,,,,,,,,,
Fred's Lab,Manatee,Preset,Glide Time,,5,,0,127,,,,,,,,,
Fred's Lab,Manatee,NRPN,NRPN MSB Data,,6,,0,127,,,,,,,,,
Fred's Lab,Manatee,Multi,Part Level,,7,,0,127,,,,,,,,,
Fred's Lab,Manatee,Multi,Part Pan,,10,,0,127,,,,,,,,,
Fred's Lab,Manatee,General,Expression Controller,,11,,0,127,,,,,,,,,
Fred's Lab,Manatee,Multi,Part Reverb,,12,,0,127,,,,,,,,,
Fred's Lab,Manatee,Multi,Part Aux,,13,,0,127,,,,,,,,,
Fred's Lab,Manatee,Multi,Part Main,,14,,0,127,,,,,,,,,
Fred's Lab,Manatee,Generator,Spectrum,,16,,0,127,,,,,,,,,
Fred's Lab,Manatee,Generator,Rotation,,17,,0,127,,,,,,,,,
Fred's Lab,Manatee,Generator,Inversion,,18,,0,127,,,,,,,,,
Fred's Lab,Manatee,Generator,Formant,,19,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,Carrier,,20,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,Content,,21,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,Content LFO2,,22,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,FM Rate,,23,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,FM Env F,,24,,0,127,,,,,,,,,
Fred's Lab,Manatee,Sub,Coarse,,25,,0,127,,,,,,,,,
Fred's Lab,Manatee,Source,Coarse,,27,,0,127,,,,,,,,,
Fred's Lab,Manatee,Source,Fine,,28,,0,127,,,,,,,,,
Fred's Lab,Manatee,Source,Balance,,29,,0,127,,,,,,,,,
Fred's Lab,Manatee,Unison,Detune,,30,,0,127,,,,,,,,,
Fred's Lab,Manatee,Unison,Wide,,31,,0,127,,,,,,,,,
Fred's Lab,Manatee,NRPN,NRPN LSB Data,,38,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 1,Rate,,44,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 1,Amount,,45,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 1,Shape A,,46,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 1,Shape B,,47,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 1,Shape C,,48,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 2,Rate,,49,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 2,Amount,,50,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 2,Shape A,,51,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 2,Shape B,,52,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO 2,Shape C,,53,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO F,Rate,,54,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO F,Amount,,55,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO F,Shape A,,56,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO F,Shape B,,57,,0,127,,,,,,,,,
Fred's Lab,Manatee,LFO F,Shape C,,58,,0,127,,,,,,,,,
Fred's Lab,Manatee,Oscillator,Ring Enable,,59,,0,127,,,,,,,,,
Fred's Lab,Manatee,Oscillator,Noise Enable,,60,,0,127,,,,,,,,,
Fred's Lab,Manatee,Oscillator,Noise Rate,,61,,0,127,,,,,,,,,
Fred's Lab,Manatee,Oscillator,Noise Color,,62,,0,127,,,,,,,,,
Fred's Lab,Manatee,Delay,Model,,63,,0,127,,,,,,,,,
Fred's Lab,Manatee,General,Damper Pedal,,64,,0,127,,,,,,,,,
Fred's Lab,Manatee,Generator,Wavelet,,70,,0,127,,,,,,,,,
Fred's Lab,Manatee,Filter,Resonance,,71,,0,127,,,,,,,,,
Fred's Lab,Manatee,Envelope,Sustain Release,,72,,0,127,,,,,,,,,
Fred's Lab,Manatee,Envelope,Sustain Attack,,73,,0,127,,,,,,,,,
Fred's Lab,Manatee,Filter,Cutoff,,74,,0,127,,,,,,,,,
Fred's Lab,Manatee,Filter,Env F,,75,,0,127,,,,,,,,,
Fred's Lab,Manatee,Vibrato,Rate,,76,,0,127,,,,,,,,,
Fred's Lab,Manatee,Vibrato,Depth,,77,,0,127,,,,,,,,,
Fred's Lab,Manatee,Tremolo,Rate,,78,,0,127,,,,,,,,,
Fred's Lab,Manatee,Tremolo,Depth,,79,,0,127,,,,,,,,,
Fred's Lab,Manatee,Level,Generator Level,,80,,0,127,,,,,,,,,
Fred's Lab,Manatee,Level,Sub Level,,81,,0,127,,,,,,,,,
Fred's Lab,Manatee,Level,Ring Level,,82,,0,127,,,,,,,,,
Fred's Lab,Manatee,Level,Noise Level,,83,,0,127,,,,,,,,,
Fred's Lab,Manatee,Filter,Model,,85,,0,127,,,,,,,,,
Fred's Lab,Manatee,Filter,LFO F,,86,,0,127,,,,,,,,,
Fred's Lab,Manatee,RC,Model,,87,,0,127,,,,,,,,,
Fred's Lab,Manatee,RC,Cutoff,,88,,0,127,,,,,,,,,
Fred's Lab,Manatee,Drive,Model,,89,,0,127,,,,,,,,,
Fred's Lab,Manatee,Drive,Gain,,90,,0,127,,,,,,,,,
Fred's Lab,Manatee,Drive,Mix,,91,,0,127,,,,,,,,,
Fred's Lab,Manatee,Delay,Time,,92,,0,127,,,,,,,,,
Fred's Lab,Manatee,Delay,Feedback,,93,,0,127,,,,,,,,,
Fred's Lab,Manatee,Delay,Level,,94,,0,127,,,,,,,,,
