manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Underscores,_recurBOY_,Controls,moveUp,Pulse 127 to move cursor up,43,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,moveDown,Pulse 127 to move cursor down,44,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,moveLeft,Pulse 127 to move cursor left,58,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,moveRight,Pulse 127 to move cursor right,59,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,enter,Pulse 127 to validate,42,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,switchSource,Pulse 127 to change video source,45,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,playSwitch,Pulse 127 to play / pause,41,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Controls,fxSwitch,Pulse 127 to  turn effect on / off,46,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Shader,setShaderParam0,Set shader parameter 0,0,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Shader,setShaderParam1,Set shader parameter 1,1,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Shader,setShaderParam2,Set shader parameter 2,2,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Shader,setShaderSpeed,Set shader speed,3,,0,127,64,,,,,,centered,,
Underscores,_recurBOY_,Effect,setEffectParam0,Set effect parameter 0,16,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Effect,setEffectParam1,Set effect parameter 1,17,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Effect,setEffectParam2,Set effect parameter 2,18,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Effect,setEffectSpeed,Set effect speed,19,,0,127,64,,,,,,centered,,
Underscores,_recurBOY_,Text,setTextDisplaceX,Set text position x,4,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextDisplaceY,Set text position y,5,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextDisplaceWidth,Set text width,6,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextDisplaceHeight,Set text height,7,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextColorHue,Set text color hue,20,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextColorSat,Set text color saturation,21,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextColorBrightness,Set text brightness,22,,0,127,,,,,,,0-based,,
Underscores,_recurBOY_,Text,setTextColorAlpha,Set text alpha,23,,0,127,,,,,,,0-based,,
